,Year,Team
3,2017,Florida
16,2017,Miami (FL)
49,2017,Florida State
49,2017,Florida Gulf Coast
258,2013,Miami (FL)
286,2013,Florida
288,2013,Florida Gulf Coast
319,2012,Florida State
365,2012,Florida
331,2012,South Florida
931,2002,Florida
961,2002,Miami (FL)
951,2002,Florida Atlantic
1110,1999,Miami (FL)
1152,1999,Florida
1103,1999,Florida A&M
