,Year,Region,Round,Seed,Team,Location,OpponentSeed,Opponent,WinningTeam
739,2006,washington,1,5,Washington,"San Diego, CA",12,Utah State,Washington
740,2006,washington,1,4,Illinois,"San Diego, CA",13,Air Force,Illinois
741,2006,washington,1,6,Michigan State,"Dayton, OH",11,George Mason,George Mason
742,2006,washington,1,3,UNC,"Dayton, OH",14,Murray State,UNC
743,2006,washington,1,7,Wichita State,"Greensboro, NC",10,Seton Hall,Wichita State
744,2006,washington,1,2,Tennessee,"Greensboro, NC",15,Winthrop,Tennessee
745,2006,washington,2,1,UConn,"Philadelphia, PA",8,Kentucky,UConn
746,2006,washington,2,5,Washington,"San Diego, CA",4,Illinois,Washington
747,2006,washington,2,11,George Mason,"Dayton, OH",3,UNC,George Mason
748,2006,washington,2,7,Wichita State,"Greensboro, NC",2,Tennessee,Wichita State
749,2006,washington,3,1,UConn,"Washington, DC",5,Washington,UConn
750,2006,washington,3,11,George Mason,"Washington, DC",7,Wichita State,George Mason
751,2006,washington,4,1,UConn,"Washington, DC",11,George Mason,George Mason
752,2006,final four,5,3,Florida,"Indianapolis, IN",11,George Mason,Florida
753,2006,final four,5,4,LSU,"Indianapolis, IN",2,UCLA,UCLA
754,2006,final four,6,3,Florida,"Indianapolis, IN",2,UCLA,Florida
755,2005,syracuse,1,1,UNC,"Charlotte, NC",16,Oakland,UNC
756,2005,syracuse,1,8,Minnesota,"Charlotte, NC",9,Iowa State,Iowa State
757,2005,syracuse,1,5,Villanova,"Nashville, TN",12,New Mexico,Villanova
758,2005,syracuse,1,4,Florida,"Nashville, TN",13,Ohio,Florida
759,2005,syracuse,1,6,Wisconsin,"Oklahoma City, OK",11,Northern Iowa,Wisconsin
760,2005,syracuse,1,3,Kansas,"Oklahoma City, OK",14,Bucknell,Bucknell
761,2005,syracuse,1,7,Charlotte,"Worcester, MA",10,North Carolina State,North Carolina State
762,2005,syracuse,1,2,UConn,"Worcester, MA",15,UCF,UConn
763,2005,syracuse,2,1,UNC,"Charlotte, NC",9,Iowa State,UNC
764,2005,syracuse,2,5,Villanova,"Nashville, TN",4,Florida,Villanova
765,2005,syracuse,2,6,Wisconsin,"Oklahoma City, OK",14,Bucknell,Wisconsin
766,2005,syracuse,2,10,North Carolina State,"Worcester, MA",2,UConn,North Carolina State
767,2005,syracuse,3,1,UNC,"Syracuse, NY",5,Villanova,UNC
768,2005,syracuse,3,6,Wisconsin,"Syracuse, NY",10,North Carolina State,Wisconsin
769,2005,syracuse,4,1,UNC,"Syracuse, NY",6,Wisconsin,UNC
770,2005,albuquerque,1,1,Washington,"Boise, ID",16,Montana,Washington
771,2005,albuquerque,1,8,Pacific,"Boise, ID",9,Pitt,Pacific
772,2005,albuquerque,1,5,Georgia Tech,"Nashville, TN",12,George Washington,Georgia Tech
773,2005,albuquerque,1,4,Louisville,"Nashville, TN",13,Louisiana-Lafayette,Louisville
774,2005,albuquerque,1,6,Texas Tech,"Tucson, AZ",11,UCLA,Texas Tech
775,2005,albuquerque,1,3,Gonzaga,"Tucson, AZ",14,Winthrop,Gonzaga
776,2005,albuquerque,1,7,West Virginia,"Cleveland, OH",10,Creighton,West Virginia
777,2005,albuquerque,1,2,Wake Forest,"Cleveland, OH",15,Chattanooga,Wake Forest
778,2005,albuquerque,2,1,Washington,"Boise, ID",8,Pacific,Washington
779,2005,albuquerque,2,5,Georgia Tech,"Nashville, TN",4,Louisville,Louisville
780,2005,albuquerque,2,6,Texas Tech,"Tucson, AZ",3,Gonzaga,Texas Tech
781,2005,albuquerque,2,7,West Virginia,"Cleveland, OH",2,Wake Forest,West Virginia
782,2005,albuquerque,3,1,Washington,"Albuquerque, NM",4,Louisville,Louisville
783,2005,albuquerque,3,6,Texas Tech,"Albuquerque, NM",7,West Virginia,West Virginia
784,2005,albuquerque,4,4,Louisville,"Albuquerque, NM",7,West Virginia,Louisville
785,2005,austin,1,1,Duke,"Charlotte, NC",16,Delaware State,Duke
786,2005,austin,1,8,Stanford,"Charlotte, NC",9,Mississippi State,Mississippi State
787,2005,austin,1,5,Michigan State,"Worcester, MA",12,Old Dominion,Michigan State
788,2005,austin,1,4,Syracuse,"Worcester, MA",13,Vermont,Vermont
789,2005,austin,1,6,Utah,"Tucson, AZ",11,UTEP,Utah
790,2005,austin,1,3,Oklahoma,"Tucson, AZ",14,Niagara,Oklahoma
791,2005,austin,1,7,Cincinnati,"Indianapolis, IN",10,Iowa,Cincinnati
792,2005,austin,1,2,Kentucky,"Indianapolis, IN",15,Eastern Kentucky,Kentucky
793,2005,austin,2,1,Duke,"Charlotte, NC",9,Mississippi State,Duke
794,2005,austin,2,5,Michigan State,"Worcester, MA",13,Vermont,Michigan State
795,2005,austin,2,6,Utah,"Tucson, AZ",3,Oklahoma,Utah
796,2005,austin,2,7,Cincinnati,"Indianapolis, IN",2,Kentucky,Kentucky
797,2005,austin,3,1,Duke,"Austin, TX",5,Michigan State,Michigan State
798,2005,austin,3,6,Utah,"Austin, TX",2,Kentucky,Kentucky
799,2005,austin,4,5,Michigan State,"Austin, TX",2,Kentucky,Michigan State
800,2005,chicago,1,1,Illinois,"Indianapolis, IN",16,Fairleigh Dickinson,Illinois
801,2005,chicago,1,8,Texas,"Indianapolis, IN",9,Nevada,Nevada
802,2005,chicago,1,5,Alabama,"Cleveland, OH",12,Milwaukee,Milwaukee
803,2005,chicago,1,4,Boston College,"Cleveland, OH",13,Penn,Boston College
804,2005,chicago,1,6,LSU,"Boise, ID",11,Alabama-Birmingham,Alabama-Birmingham
805,2005,chicago,1,3,Arizona,"Boise, ID",14,Utah State,Arizona
806,2005,chicago,1,7,Southern Illinois,"Oklahoma City, OK",10,Saint Mary's (CA),Southern Illinois
807,2005,chicago,1,2,Oklahoma State,"Oklahoma City, OK",15,Southeastern Louisiana,Oklahoma State
808,2005,chicago,2,1,Illinois,"Indianapolis, IN",9,Nevada,Illinois
809,2005,chicago,2,12,Milwaukee,"Cleveland, OH",4,Boston College,Milwaukee
810,2005,chicago,2,11,Alabama-Birmingham,"Boise, ID",3,Arizona,Arizona
811,2005,chicago,2,7,Southern Illinois,"Oklahoma City, OK",2,Oklahoma State,Oklahoma State
812,2005,chicago,3,1,Illinois,"Chicago, IL",12,Milwaukee,Illinois
813,2005,chicago,3,3,Arizona,"Chicago, IL",2,Oklahoma State,Arizona
814,2005,chicago,4,1,Illinois,"Chicago, IL",3,Arizona,Illinois
815,2005,final four,5,1,UNC,"St. Louis, MO",5,Michigan State,UNC
816,2005,final four,5,4,Louisville,"St. Louis, MO",1,Illinois,Illinois
817,2005,final four,6,1,UNC,"St. Louis, MO",1,Illinois,UNC
818,2004,atlanta,1,1,Duke,"Raleigh, NC",16,Alabama State,Duke
819,2004,atlanta,1,8,Seton Hall,"Raleigh, NC",9,Arizona,Seton Hall
820,2004,atlanta,1,5,Illinois,"Columbus, OH",12,Murray State,Illinois
821,2004,atlanta,1,4,Cincinnati,"Columbus, OH",13,ETSU,Cincinnati
822,2004,atlanta,1,6,UNC,"Denver, CO",11,Air Force,UNC
823,2004,atlanta,1,3,Texas,"Denver, CO",14,Princeton,Texas
824,2004,atlanta,1,7,Xavier,"Orlando, FL",10,Louisville,Xavier
825,2004,atlanta,1,2,Mississippi State,"Orlando, FL",15,Monmouth,Mississippi State
826,2004,atlanta,2,1,Duke,"Raleigh, NC",8,Seton Hall,Duke
827,2004,atlanta,2,5,Illinois,"Columbus, OH",4,Cincinnati,Illinois
828,2004,atlanta,2,6,UNC,"Denver, CO",3,Texas,Texas
829,2004,atlanta,2,7,Xavier,"Orlando, FL",2,Mississippi State,Xavier
830,2004,atlanta,3,1,Duke,"Atlanta, GA",5,Illinois,Duke
831,2004,atlanta,3,3,Texas,"Atlanta, GA",7,Xavier,Xavier
832,2004,atlanta,4,1,Duke,"Atlanta, GA",7,Xavier,Duke
833,2004,phoenix,1,1,Stanford,"Seattle, WA",16,UTSA,Stanford
834,2004,phoenix,1,8,Alabama,"Seattle, WA",9,Southern Illinois,Alabama
835,2004,phoenix,1,5,Syracuse,"Denver, CO",12,BYU,Syracuse
836,2004,phoenix,1,4,Maryland,"Denver, CO",13,UTEP,Maryland
837,2004,phoenix,1,6,Vanderbilt,"Denver, CO",11,Western Michigan,Vanderbilt
838,2004,phoenix,1,3,North Carolina State,"Denver, CO",14,Louisiana-Lafayette,North Carolina State
839,2004,phoenix,1,7,DePaul,"Buffalo, NY",10,Dayton,DePaul
840,2004,phoenix,1,2,UConn,"Buffalo, NY",15,Vermont,UConn
841,2004,phoenix,2,1,Stanford,"Seattle, WA",8,Alabama,Alabama
842,2004,phoenix,2,5,Syracuse,"Denver, CO",4,Maryland,Syracuse
843,2004,phoenix,2,6,Vanderbilt,"Denver, CO",3,North Carolina State,Vanderbilt
844,2004,phoenix,2,7,DePaul,"Buffalo, NY",2,UConn,UConn
845,2004,phoenix,3,8,Alabama,"Phoenix, AZ",5,Syracuse,Alabama
846,2004,phoenix,3,6,Vanderbilt,"Phoenix, AZ",2,UConn,UConn
847,2004,phoenix,4,8,Alabama,"Phoenix, AZ",2,UConn,UConn
848,2004,final four,5,2,UConn,"San Antonio, TX",1,Duke,UConn
849,2004,final four,5,2,Oklahoma State,"San Antonio, TX",3,Georgia Tech,Georgia Tech
850,2004,final four,6,2,UConn,"San Antonio, TX",3,Georgia Tech,UConn
851,2003,south,1,1,Texas,"Birmingham, AL",16,North Carolina-Asheville,Texas
852,2003,south,1,8,LSU,"Birmingham, AL",9,Purdue,Purdue
853,2003,south,1,5,UConn,"Spokane, WA",12,BYU,UConn
854,2003,south,1,4,Stanford,"Spokane, WA",13,San Diego,Stanford
855,2003,south,1,6,Maryland,"Nashville, TN",11,North Carolina-Wilmington,Maryland
856,2003,south,1,3,Xavier,"Nashville, TN",14,Troy,Xavier
857,2003,south,1,7,Michigan State,"Tampa, FL",10,Colorado,Michigan State
858,2003,south,1,2,Florida,"Tampa, FL",15,Sam Houston State,Florida
859,2003,south,2,1,Texas,"Birmingham, AL",9,Purdue,Texas
860,2003,south,2,5,UConn,"Spokane, WA",4,Stanford,UConn
861,2003,south,2,6,Maryland,"Nashville, TN",3,Xavier,Maryland
862,2003,south,2,7,Michigan State,"Tampa, FL",2,Florida,Michigan State
863,2003,south,3,1,Texas,"San Antonio, TX",5,UConn,Texas
864,2003,south,3,6,Maryland,"San Antonio, TX",7,Michigan State,Michigan State
865,2003,south,4,1,Texas,"San Antonio, TX",7,Michigan State,Texas
866,2003,east,1,1,Oklahoma,"Oklahoma City, OK",16,South Carolina State,Oklahoma
867,2003,east,1,8,University of California,"Oklahoma City, OK",9,North Carolina State,University of California
868,2003,east,1,5,Mississippi State,"Birmingham, AL",12,Butler,Butler
869,2003,east,1,4,Louisville,"Birmingham, AL",13,Austin Peay,Louisville
870,2003,east,1,6,Oklahoma State,"Boston, MA",11,Penn,Oklahoma State
871,2003,east,1,3,Syracuse,"Boston, MA",14,Manhattan,Syracuse
872,2003,east,1,7,St. Joseph's,"Tampa, FL",10,Auburn,Auburn
873,2003,east,1,2,Wake Forest,"Tampa, FL",15,ETSU,Wake Forest
874,2003,east,2,1,Oklahoma,"Oklahoma City, OK",8,University of California,Oklahoma
875,2003,east,2,12,Butler,"Birmingham, AL",4,Louisville,Butler
876,2003,east,2,6,Oklahoma State,"Boston, MA",3,Syracuse,Syracuse
877,2003,east,2,10,Auburn,"Tampa, FL",2,Wake Forest,Auburn
878,2003,east,3,1,Oklahoma,"Albany, NY",12,Butler,Oklahoma
879,2003,east,3,3,Syracuse,"Albany, NY",10,Auburn,Syracuse
880,2003,east,4,1,Oklahoma,"Albany, NY",3,Syracuse,Syracuse
881,2003,midwest,1,1,Kentucky,"Nashville, TN",16,IUPUI,Kentucky
882,2003,midwest,1,8,Oregon,"Nashville, TN",9,Utah,Utah
883,2003,midwest,1,5,Wisconsin,"Spokane, WA",12,Weber State,Wisconsin
884,2003,midwest,1,4,Dayton,"Spokane, WA",13,Tulsa,Tulsa
885,2003,midwest,1,6,Missouri,"Indianapolis, IN",11,Southern Illinois,Missouri
886,2003,midwest,1,3,Marquette,"Indianapolis, IN",14,Holy Cross,Marquette
887,2003,midwest,1,7,Indiana,"Boston, MA",10,Alabama,Indiana
888,2003,midwest,1,2,Pitt,"Boston, MA",15,Wagner,Pitt
889,2003,midwest,2,1,Kentucky,"Nashville, TN",9,Utah,Kentucky
890,2003,midwest,2,5,Wisconsin,"Spokane, WA",13,Tulsa,Wisconsin
891,2003,midwest,2,6,Missouri,"Indianapolis, IN",3,Marquette,Marquette
892,2003,midwest,2,7,Indiana,"Boston, MA",2,Pitt,Pitt
893,2003,midwest,3,1,Kentucky,"Minneapolis, MN",5,Wisconsin,Kentucky
894,2003,midwest,3,3,Marquette,"Minneapolis, MN",2,Pitt,Marquette
895,2003,midwest,4,1,Kentucky,"Minneapolis, MN",3,Marquette,Marquette
896,2003,west,1,1,Arizona,"Salt Lake City, UT",16,Vermont,Arizona
897,2003,west,1,8,Cincinnati,"Salt Lake City, UT",9,Gonzaga,Gonzaga
898,2003,west,1,5,Notre Dame,"Indianapolis, IN",12,Milwaukee,Notre Dame
899,2003,west,1,4,Illinois,"Indianapolis, IN",13,Western Kentucky,Illinois
900,2003,west,1,6,Creighton,"Salt Lake City, UT",11,Central Michigan,Central Michigan
901,2003,west,1,3,Duke,"Salt Lake City, UT",14,Colorado State,Duke
902,2003,west,1,7,Memphis,"Oklahoma City, OK",10,Arizona State,Arizona State
903,2003,west,1,2,Kansas,"Oklahoma City, OK",15,Utah State,Kansas
904,2003,west,2,1,Arizona,"Salt Lake City, UT",9,Gonzaga,Arizona
905,2003,west,2,5,Notre Dame,"Indianapolis, IN",4,Illinois,Notre Dame
906,2003,west,2,11,Central Michigan,"Salt Lake City, UT",3,Duke,Duke
907,2003,west,2,10,Arizona State,"Oklahoma City, OK",2,Kansas,Kansas
908,2003,west,3,1,Arizona,"Anaheim, CA",5,Notre Dame,Arizona
909,2003,west,3,3,Duke,"Anaheim, CA",2,Kansas,Kansas
910,2003,west,4,1,Arizona,"Anaheim, CA",2,Kansas,Kansas
911,2003,final four,5,3,Syracuse,"New Orleans, LA",1,Texas,Syracuse
912,2003,final four,5,3,Marquette,"New Orleans, LA",2,Kansas,Kansas
913,2003,final four,6,3,Syracuse,"New Orleans, LA",2,Kansas,Syracuse
914,2002,east,1,1,Maryland,"Washington, DC",16,Siena,Maryland
915,2002,east,1,8,Wisconsin,"Washington, DC",9,St. John's (NY),Wisconsin
916,2002,east,1,5,Marquette,"St. Louis, MO",12,Tulsa,Tulsa
917,2002,east,1,4,Kentucky,"St. Louis, MO",13,Valparaiso,Kentucky
918,2002,east,1,6,Texas Tech,"Chicago, IL",11,Southern Illinois,Southern Illinois
919,2002,east,1,3,Georgia,"Chicago, IL",14,Murray State,Georgia
920,2002,east,1,7,North Carolina State,"Washington, DC",10,Michigan State,North Carolina State
921,2002,east,1,2,UConn,"Washington, DC",15,Hampton,UConn
922,2002,east,2,1,Maryland,"Washington, DC",8,Wisconsin,Maryland
923,2002,east,2,12,Tulsa,"St. Louis, MO",4,Kentucky,Kentucky
924,2002,east,2,11,Southern Illinois,"Chicago, IL",3,Georgia,Southern Illinois
925,2002,east,2,7,North Carolina State,"Washington, DC",2,UConn,UConn
926,2002,east,3,1,Maryland,"Syracuse, NY",4,Kentucky,Maryland
927,2002,east,3,11,Southern Illinois,"Syracuse, NY",2,UConn,UConn
928,2002,east,4,1,Maryland,"Syracuse, NY",2,UConn,Maryland
929,2002,midwest,1,1,Kansas,"St. Louis, MO",16,Holy Cross,Kansas
930,2002,midwest,1,8,Stanford,"St. Louis, MO",9,Western Kentucky,Stanford
931,2002,midwest,1,5,Florida,"Chicago, IL",12,Creighton,Creighton
932,2002,midwest,1,4,Illinois,"Chicago, IL",13,San Diego State,Illinois
933,2002,midwest,1,6,Texas,"Dallas, TX",11,Boston College,Texas
934,2002,midwest,1,3,Mississippi State,"Dallas, TX",14,McNeese State,Mississippi State
935,2002,midwest,1,7,Wake Forest,"Sacramento, CA",10,Pepperdine,Wake Forest
936,2002,midwest,1,2,Oregon,"Sacramento, CA",15,Montana,Oregon
937,2002,midwest,2,1,Kansas,"St. Louis, MO",8,Stanford,Kansas
938,2002,midwest,2,12,Creighton,"Chicago, IL",4,Illinois,Illinois
939,2002,midwest,2,6,Texas,"Dallas, TX",3,Mississippi State,Texas
940,2002,midwest,2,7,Wake Forest,"Sacramento, CA",2,Oregon,Oregon
941,2002,midwest,3,1,Kansas,"Madison, WI",4,Illinois,Kansas
942,2002,midwest,3,6,Texas,"Madison, WI",2,Oregon,Oregon
943,2002,midwest,4,1,Kansas,"Madison, WI",2,Oregon,Kansas
944,2002,south,1,1,Duke,"Greenville, SC",16,Winthrop,Duke
945,2002,south,1,8,Notre Dame,"Greenville, SC",9,Charlotte,Notre Dame
946,2002,south,1,5,Indiana,"Sacramento, CA",12,Utah,Indiana
947,2002,south,1,4,USC,"Sacramento, CA",13,North Carolina-Wilmington,North Carolina-Wilmington
948,2002,south,1,6,University of California,"Pittsburgh, PA",11,Penn,University of California
949,2002,south,1,3,Pitt,"Pittsburgh, PA",14,Central Connecticut,Pitt
950,2002,south,1,7,Oklahoma State,"Greenville, SC",10,Kent State,Kent State
951,2002,south,1,2,Alabama,"Greenville, SC",15,Florida Atlantic,Alabama
952,2002,south,2,1,Duke,"Greenville, SC",8,Notre Dame,Duke
953,2002,south,2,5,Indiana,"Sacramento, CA",13,North Carolina-Wilmington,Indiana
954,2002,south,2,6,University of California,"Pittsburgh, PA",3,Pitt,Pitt
955,2002,south,2,10,Kent State,"Greenville, SC",2,Alabama,Kent State
956,2002,south,3,1,Duke,"Lexington, KY",5,Indiana,Indiana
957,2002,south,3,3,Pitt,"Lexington, KY",10,Kent State,Kent State
958,2002,south,4,5,Indiana,"Lexington, KY",10,Kent State,Indiana
959,2002,west,1,1,Cincinnati,"Pittsburgh, PA",16,Boston University,Cincinnati
960,2002,west,1,8,UCLA,"Pittsburgh, PA",9,Ole Miss,UCLA
961,2002,west,1,5,Miami (FL),"Albuquerque, NM",12,Missouri,Missouri
962,2002,west,1,4,Ohio State,"Albuquerque, NM",13,Davidson,Ohio State
963,2002,west,1,6,Gonzaga,"Albuquerque, NM",11,Wyoming,Wyoming
964,2002,west,1,3,Arizona,"Albuquerque, NM",14,UCSB,Arizona
965,2002,west,1,7,Xavier,"Dallas, TX",10,Hawaii,Xavier
966,2002,west,1,2,Oklahoma,"Dallas, TX",15,UIC,Oklahoma
967,2002,west,2,1,Cincinnati,"Pittsburgh, PA",8,UCLA,UCLA
968,2002,west,2,12,Missouri,"Albuquerque, NM",4,Ohio State,Missouri
969,2002,west,2,11,Wyoming,"Albuquerque, NM",3,Arizona,Arizona
970,2002,west,2,7,Xavier,"Dallas, TX",2,Oklahoma,Oklahoma
971,2002,west,3,8,UCLA,"San Jose, CA",12,Missouri,Missouri
972,2002,west,3,3,Arizona,"San Jose, CA",2,Oklahoma,Oklahoma
973,2002,west,4,12,Missouri,"San Jose, CA",2,Oklahoma,Oklahoma
974,2002,final four,5,1,Maryland,"Atlanta, GA",1,Kansas,Maryland
975,2002,final four,5,2,Oklahoma,"Atlanta, GA",5,Indiana,Indiana
976,2002,final four,6,1,Maryland,"Atlanta, GA",5,Indiana,Maryland
977,2001,midwest,1,1,Illinois,"Dayton, OH",16,Northwestern State,Illinois
978,2001,midwest,1,8,Tennessee,"Dayton, OH",9,Charlotte,Charlotte
979,2001,midwest,1,5,Syracuse,"Dayton, OH",12,Hawaii,Syracuse
980,2001,midwest,1,4,Kansas,"Dayton, OH",13,Cal State Northridge,Kansas
981,2001,midwest,1,6,Notre Dame,"Kansas City, MO",11,Xavier,Notre Dame
982,2001,midwest,1,3,Ole Miss,"Kansas City, MO",14,Iona,Ole Miss
983,2001,midwest,1,7,Wake Forest,"Kansas City, MO",10,Butler,Butler
984,2001,midwest,1,2,Arizona,"Kansas City, MO",15,Eastern Illinois,Arizona
985,2001,midwest,2,1,Illinois,"Dayton, OH",9,Charlotte,Illinois
986,2001,midwest,2,5,Syracuse,"Dayton, OH",4,Kansas,Kansas
987,2001,midwest,2,6,Notre Dame,"Kansas City, MO",3,Ole Miss,Ole Miss
988,2001,midwest,2,10,Butler,"Kansas City, MO",2,Arizona,Arizona
989,2001,midwest,3,1,Illinois,"San Antonio, TX",4,Kansas,Illinois
990,2001,midwest,3,3,Ole Miss,"San Antonio, TX",2,Arizona,Arizona
991,2001,midwest,4,1,Illinois,"San Antonio, TX",2,Arizona,Arizona
992,2001,east,1,1,Duke,"Greensboro, NC",16,Monmouth,Duke
993,2001,east,1,8,Georgia,"Greensboro, NC",9,Missouri,Missouri
994,2001,east,1,5,Ohio State,"Greensboro, NC",12,Utah State,Utah State
995,2001,east,1,4,UCLA,"Greensboro, NC",13,Hofstra,UCLA
996,2001,east,1,6,USC,"Uniondale, NY",11,Oklahoma State,USC
997,2001,east,1,3,Boston College,"Uniondale, NY",14,Southern Utah,Boston College
998,2001,east,1,7,Iowa,"Uniondale, NY",10,Creighton,Iowa
999,2001,east,1,2,Kentucky,"Uniondale, NY",15,Holy Cross,Kentucky
1000,2001,east,2,1,Duke,"Greensboro, NC",9,Missouri,Duke
1001,2001,east,2,12,Utah State,"Greensboro, NC",4,UCLA,UCLA
1002,2001,east,2,6,USC,"Uniondale, NY",3,Boston College,USC
1003,2001,east,2,7,Iowa,"Uniondale, NY",2,Kentucky,Kentucky
1004,2001,east,3,1,Duke,"Philadelphia, PA",4,UCLA,Duke
1005,2001,east,3,6,USC,"Philadelphia, PA",2,Kentucky,USC
1006,2001,east,4,1,Duke,"Philadelphia, PA",6,USC,Duke
1007,2001,south,1,1,Michigan State,"Memphis, TN",16,Alabama State,Michigan State
1008,2001,south,1,8,University of California,"Memphis, TN",9,Fresno State,Fresno State
1009,2001,south,1,5,Virginia,"Memphis, TN",12,Gonzaga,Gonzaga
1010,2001,south,1,4,Oklahoma,"Memphis, TN",13,Indiana State,Indiana State
1011,2001,south,1,6,Texas,"New Orleans, LA",11,Temple,Temple
1012,2001,south,1,3,Florida,"New Orleans, LA",14,Western Kentucky,Florida
1013,2001,south,1,7,Penn State,"New Orleans, LA",10,Providence,Penn State
1014,2001,south,1,2,UNC,"New Orleans, LA",15,Princeton,UNC
1015,2001,south,2,1,Michigan State,"Memphis, TN",9,Fresno State,Michigan State
1016,2001,south,2,12,Gonzaga,"Memphis, TN",13,Indiana State,Gonzaga
1017,2001,south,2,11,Temple,"New Orleans, LA",3,Florida,Temple
1018,2001,south,2,7,Penn State,"New Orleans, LA",2,UNC,Penn State
1019,2001,south,3,1,Michigan State,"Atlanta, GA",12,Gonzaga,Michigan State
1020,2001,south,3,11,Temple,"Atlanta, GA",7,Penn State,Temple
1021,2001,south,4,1,Michigan State,"Atlanta, GA",11,Temple,Michigan State
1022,2001,west,1,1,Stanford,"San Diego, CA",16,North Carolina-Greensboro,Stanford
1023,2001,west,1,8,Georgia Tech,"San Diego, CA",9,St. Joseph's,St. Joseph's
1024,2001,west,1,5,Cincinnati,"San Diego, CA",12,BYU,Cincinnati
1025,2001,west,1,4,Indiana,"San Diego, CA",13,Kent State,Kent State
1026,2001,west,1,6,Wisconsin,"Boise, ID",11,Georgia State,Georgia State
1027,2001,west,1,3,Maryland,"Boise, ID",14,George Mason,Maryland
1028,2001,west,1,7,Arkansas,"Boise, ID",10,Georgetown,Georgetown
1029,2001,west,1,2,Iowa State,"Boise, ID",15,Hampton,Hampton
1030,2001,west,2,1,Stanford,"San Diego, CA",9,St. Joseph's,Stanford
1031,2001,west,2,5,Cincinnati,"San Diego, CA",13,Kent State,Cincinnati
1032,2001,west,2,11,Georgia State,"Boise, ID",3,Maryland,Maryland
1033,2001,west,2,10,Georgetown,"Boise, ID",15,Hampton,Georgetown
1034,2001,west,3,1,Stanford,"Anaheim, CA",5,Cincinnati,Stanford
1035,2001,west,3,3,Maryland,"Anaheim, CA",10,Georgetown,Maryland
1036,2001,west,4,1,Stanford,"Anaheim, CA",3,Maryland,Maryland
1037,2001,final four,5,1,Duke,"Minneapolis, MN",3,Maryland,Duke
1038,2001,final four,5,1,Michigan State,"Minneapolis, MN",2,Arizona,Arizona
1039,2001,final four,6,1,Duke,"Minneapolis, MN",2,Arizona,Duke
1040,2000,east,1,1,Duke,"Winston-Salem, NC",16,Lamar,Duke
1041,2000,east,1,8,Kansas,"Winston-Salem, NC",9,DePaul,Kansas
1042,2000,east,1,5,Florida,"Winston-Salem, NC",12,Butler,Florida
1043,2000,east,1,4,Illinois,"Winston-Salem, NC",13,Penn,Illinois
1044,2000,east,1,6,Indiana,"Buffalo, NY",11,Pepperdine,Pepperdine
1045,2000,east,1,3,Oklahoma State,"Buffalo, NY",14,Hofstra,Oklahoma State
1046,2000,east,1,7,Oregon,"Buffalo, NY",10,Seton Hall,Seton Hall
1047,2000,east,1,2,Temple,"Buffalo, NY",15,Lafayette,Temple
1048,2000,east,2,1,Duke,"Winston-Salem, NC",8,Kansas,Duke
1049,2000,east,2,5,Florida,"Winston-Salem, NC",4,Illinois,Florida
1050,2000,east,2,11,Pepperdine,"Buffalo, NY",3,Oklahoma State,Oklahoma State
1051,2000,east,2,10,Seton Hall,"Buffalo, NY",2,Temple,Seton Hall
1052,2000,east,3,1,Duke,"Syracuse, NY",5,Florida,Florida
1053,2000,east,3,3,Oklahoma State,"Syracuse, NY",10,Seton Hall,Oklahoma State
1054,2000,east,4,5,Florida,"Syracuse, NY",3,Oklahoma State,Florida
1055,2000,midwest,1,1,Michigan State,"Cleveland, OH",16,Valparaiso,Michigan State
1056,2000,midwest,1,8,Utah,"Cleveland, OH",9,Saint Louis,Utah
1057,2000,midwest,1,5,Kentucky,"Cleveland, OH",12,St. Bonaventure,Kentucky
1058,2000,midwest,1,4,Syracuse,"Cleveland, OH",13,Samford,Syracuse
1059,2000,midwest,1,6,UCLA,"Minneapolis, MN",11,Ball State,UCLA
1060,2000,midwest,1,3,Maryland,"Minneapolis, MN",14,Iona,Maryland
1061,2000,midwest,1,7,Auburn,"Minneapolis, MN",10,Creighton,Auburn
1062,2000,midwest,1,2,Iowa State,"Minneapolis, MN",15,Central Connecticut,Iowa State
1063,2000,midwest,2,1,Michigan State,"Cleveland, OH",8,Utah,Michigan State
1064,2000,midwest,2,5,Kentucky,"Cleveland, OH",4,Syracuse,Syracuse
1065,2000,midwest,2,6,UCLA,"Minneapolis, MN",3,Maryland,UCLA
1066,2000,midwest,2,7,Auburn,"Minneapolis, MN",2,Iowa State,Iowa State
1067,2000,midwest,3,1,Michigan State,"Auburn Hills, MI",4,Syracuse,Michigan State
1068,2000,midwest,3,6,UCLA,"Auburn Hills, MI",2,Iowa State,Iowa State
1069,2000,midwest,4,1,Michigan State,"Auburn Hills, MI",2,Iowa State,Michigan State
1070,2000,south,1,1,Stanford,"Birmingham, AL",16,South Carolina State,Stanford
1071,2000,south,1,8,UNC,"Birmingham, AL",9,Missouri,UNC
1072,2000,south,1,5,UConn,"Birmingham, AL",12,Utah State,UConn
1073,2000,south,1,4,Tennessee,"Birmingham, AL",13,Louisiana-Lafayette,Tennessee
1074,2000,south,1,6,Miami (FL),"Nashville, TN",11,Arkansas,Miami (FL)
1075,2000,south,1,3,Ohio State,"Nashville, TN",14,Appalachian State,Ohio State
1076,2000,south,1,7,Tulsa,"Nashville, TN",10,UNLV,Tulsa
1077,2000,south,1,2,Cincinnati,"Nashville, TN",15,North Carolina-Wilmington,Cincinnati
1078,2000,south,2,1,Stanford,"Birmingham, AL",8,UNC,UNC
1079,2000,south,2,5,UConn,"Birmingham, AL",4,Tennessee,Tennessee
1080,2000,south,2,6,Miami (FL),"Nashville, TN",3,Ohio State,Miami (FL)
